symbol,Company Name,sector,close,volume,% chg,52w High,52w Low,50 day sma,200 day sma,rsi 14
TATAELXSI,Tata Elxsi Ltd,IT,7145,412000,2.1,7460,5890,6810,6320,63
KAYNES,Kaynes Technology,Capital Goods,5320,890000,3.4,5480,3200,4850,4100,68
COFORGE,Coforge Ltd,IT,8210,320000,1.6,8450,5600,7690,6900,61
POLYCAB,Polycab India,Capital Goods,7260,210000,-0.4,7690,4700,6980,6100,54
JSWENERGY,JSW Energy Ltd,Energy,612,5200000,4.2,645,380,560,480,71
CDSL,Central Depository Services,Financial Services,2680,980000,1.1,2810,1550,2510,2100,59
SUZLON,Suzlon Energy,Energy,74,42000000,-1.8,86,32,71,58,48
MAZDOCK,Mazagon Dock Shipbuilders,Defence,4310,610000,2.8,4450,1900,3900,3100,66
IREDA,Indian Renewable Energy Dev. Agency,Financial Services,218,8900000,0.6,310,130,205,190,52
PGEL,PG Electroplast,Consumer Durables,890,1900000,5.1,920,340,760,560,74
